name,episodes,link
"Joshikousei no Koshitsuki Tập 1",1,"https://video.twimg.com/amplify_video/1982765412182851584/pl/g65Fn1MDm2fIFXP-.m3u8"
"Hitozuma Life: One Time Gal Tập 2",1,"https://video.twimg.com/amplify_video/1982766906697228288/pl/5AMzfxK_ktO-jSCa.m3u8"
"Maid Kyouiku: Botsuraku Kizoku Rurikawa Tsubaki The Animation Tập 1",1,"https://video.twimg.com/amplify_video/1982763449269538816/pl/kYDVz_y9rE8QpRBp.m3u8"
"Futei with The Animation Tập 1",1,"https://video.twimg.com/amplify_video/1982762656764182528/pl/wHTfbrlaCD6M_U5p.m3u8"
"Baka Dakedo Chinchin Shaburu no dake wa Jouzu na Chii-chan Tập 2",1,"https://video.twimg.com/amplify_video/1982765415680913408/pl/y5MaVw69AdUnp7cq.m3u8"
"Genkaku Cool na Sensei ga Aheboteochi! Tập 1",1,"https://video.twimg.com/amplify_video/1982760915989651456/pl/ZU9IuwgaBJH4rkQ5.m3u8"
"Yuutousei Ayaka no Uraomote Tập 2",1,"https://video.twimg.com/amplify_video/1982771452404236288/pl/pa_qccTcuA5LkQwv.m3u8"
"Joshi Luck! Tập 5",1,"https://video.twimg.com/amplify_video/1982762546684702720/pl/OPI1spxc40gsKPCD.m3u8"
"Joshikousei no Koshitsuki Tập 3",1,"https://video.twimg.com/amplify_video/1982764827568119808/pl/21B5L-Cz4h6PsvTe.m3u8"
"Ryou Seibai!: Gakuen Bishoujo Seisai Hiroku Tập 1",1,"https://video.twimg.com/amplify_video/1982767663978852352/pl/jLrzg1QRPsFAInAG.m3u8"
"Joshikousei no Koshitsuki Tập 6",1,"https://video.twimg.com/amplify_video/1982763651489476608/pl/wBePorXtyODd7vsg.m3u8"
"Baka Dakedo Chinchin Shaburu no dake wa Jouzu na Chii-chan Tập 1",1,"https://video.twimg.com/amplify_video/1982766905921265664/pl/LvzGT0NamKaLm9pE.m3u8"
"Fella Pure: Mitarashi-san Chi no Jijou The Animation Tập 1",1,"https://video.twimg.com/amplify_video/1982767656357777408/pl/Jqi8HzfAr-_ZHXym.m3u8"
"Fushigi no Kuni no Succubus Tập 1",1,"https://video.twimg.com/amplify_video/1982763571185434624/pl/y_QZtSLxwgnsrVSy.m3u8"
"Ryou Seibai!: Gakuen Bishoujo Seisai Hiroku Tập 2",1,"https://video.twimg.com/amplify_video/1982768432220106752/pl/vxST5oZXdBh8RDTE.m3u8"
"Kimi wa Yasashiku Netorareru The Animation Tập 3",1,"https://video.twimg.com/amplify_video/1982766905959063552/pl/6ND6wDhMjL769zT1.m3u8"
"Joshikousei no Koshitsuki Tập 4",1,"https://video.twimg.com/amplify_video/1982764475460567040/pl/azGwrYDoMN7PS7ZT.m3u8"
"Oppai Gakuen Marching Band-bu! Tập 1",1,"https://video.twimg.com/amplify_video/1982770822834954240/pl/02LH-NfoHb8nbzU6.m3u8"
"Chikan Shita Joshisei to Sonogo, Musabori Au Youna Doero Junai Tập 1",1,"https://video.twimg.com/amplify_video/1982762426865950720/pl/F6rpTY-jHXEhahey.m3u8"
"Genkaku Cool na Sensei ga Aheboteochi! Tập 2",1,"https://video.twimg.com/amplify_video/1982760892203671552/pl/Esu1LOIjxFGtSWop.m3u8"
"Kotowari: Kimi no Kokoro no Koboreta Kakera Tập 1",1,"https://video.twimg.com/amplify_video/1982769048438865921/pl/B8CliP4JMKXZKooD.m3u8"
"Ecchi na Onee-chan ni Shiboraretai Tập 2",1,"https://video.twimg.com/amplify_video/1982769202130731008/pl/GbVhcpH0w55RcGBg.m3u8"
"Kotowari: Kimi no Kokoro no Koboreta Kakera Tập 2",1,"https://video.twimg.com/amplify_video/1982768478869229568/pl/b9zcuDPqUyt_BqQG.m3u8"
"Joshikousei no Koshitsuki Tập 5",1,"https://video.twimg.com/amplify_video/1982764402534174720/pl/Hgzs2L5fIskY07tN.m3u8"
"Kuro Ai Hitoyozumakan Inkou Rannyuuroku Tập 1",1,"https://video.twimg.com/amplify_video/1982780329438965760/pl/cVeiyhr1NJ5kFC7V.m3u8"
"Sakusei Byoutou The Animation Tập 5",1,"https://video.twimg.com/amplify_video/1982781318887821312/pl/qldJgOhURFs7EA1b.m3u8"
"Yarichin Kateikyoushi Netori Houkoku Tập 2",1,"https://video.twimg.com/amplify_video/1982777151884754945/pl/EVRh13TN_zQUPlWX.m3u8"
"Ikkyuu Nyuukon Tập 2",1,"https://video.twimg.com/amplify_video/1982772894372597760/pl/C69AaR1p87cFR35F.m3u8"
"Kyonyuu Daikazoku Saimin Tập 1",1,"https://video.twimg.com/amplify_video/1982775628060585984/pl/qJYKkpPbMzD7aWIc.m3u8"
"JK Fuuzoku Gakuensai Tập 1",1,"https://video.twimg.com/amplify_video/1982776664062128129/pl/EYmgUmBbOczo6w9j.m3u8"
"Kutsujoku 2 The Animation Tập 2",1,""
"Aku no Onna Kanbu: Full Moon Night Tập 1",1,"https://video.twimg.com/amplify_video/1982776650405408768/pl/6MWST_FvFB1frP83.m3u8"
"Sakusei Byoutou The Animation Tập 4",1,"https://video.twimg.com/amplify_video/1982781907587702784/pl/vEKLsjZVOxNugepe.m3u8"
"Kyonyuu Daikazoku Saimin Tập 2",1,"https://video.twimg.com/amplify_video/1982775628773392384/pl/1VfPWZclPQnuftVd.m3u8"
"Kansen: Inyoku no Rensa Tập 2",1,"https://video.twimg.com/amplify_video/1982776711088689152/pl/tMVEebxuFGMXus31.m3u8"
"Kansen: Inyoku no Rensa Tập 1",1,"https://video.twimg.com/amplify_video/1982777116874903552/pl/4L0mY3X3LsIhzVY_.m3u8"
"Zettai Junshu Kyousei Kozukuri Kyokashou!! Tập 1",1,"https://video.twimg.com/amplify_video/1982774291952209920/pl/wjVcPKyb2Yz6CcEC.m3u8"
"Saimin Gakuen (2018) Tập 4",1,"https://video.twimg.com/amplify_video/1982780330659467264/pl/FdjlfGvTzJoulAfq.m3u8"
"Kokuhaku…… Tập 1",1,"https://video.twimg.com/amplify_video/1982774395840917504/pl/dtAz8qLNFSeexnA9.m3u8"
"Bonyuu-chan wa Dashitai. Tập 3",1,"https://video.twimg.com/amplify_video/1982778886837694464/pl/uRUruygqehL0ez8C.m3u8"
"Hajimete no Hitozuma Tập 5",1,"https://video.twimg.com/amplify_video/1982767658853425152/pl/ynxH2FfdJGJ8OOu4.m3u8"
"Sei Yariman Gakuen Enkou Nikki The Animation Tập 1",1,"https://video.twimg.com/amplify_video/1982775627741609984/pl/P5rKoG3HG7IRaoWZ.m3u8"
"Saimin Gakuen (2018) Tập 2",1,"https://video.twimg.com/amplify_video/1982781055099678720/pl/gdVng0gsDO-CnrV9.m3u8"
"Joshi Luck! Tập 4",1,"https://video.twimg.com/amplify_video/1982780329925431296/pl/x1Y8x8Z1gCl53Qky.m3u8"
"Soshite Watashi wa Sensei ni Tập 4",1,"https://video.twimg.com/amplify_video/1982774562078044160/pl/0-UtNjTrjsEm1-lm.m3u8"
"Joshi Luck! Tập 3",1,"https://video.twimg.com/amplify_video/1982780330311385088/pl/5TdDF-jenqBP1x4-.m3u8"
"Ikkyuu Nyuukon Tập 3",1,"https://video.twimg.com/amplify_video/1982773270706294784/pl/684AFEl9zlFh2ZWR.m3u8"
"Zettai Junshu Kyousei Kozukuri Kyokashou!! Tập 2",1,"https://video.twimg.com/amplify_video/1982773448083488768/pl/3gO-_xG7JX-kn4mK.m3u8"
"Ikkyuu Nyuukon Tập 4",1,"https://video.twimg.com/amplify_video/1982772387373281280/pl/JxZFKwfwFkoyNeoZ.m3u8"
"Kuro Ai Hitoyozumakan Inkou Rannyuuroku Tập 2",1,"https://video.twimg.com/amplify_video/1982774820224806912/pl/unR_T98BQ-tI7Dom.m3u8"
"Saimin Gakuen (2018) Tập 1",1,"https://video.twimg.com/amplify_video/1982781130542620672/pl/1VTpCnTV8yoaauFg.m3u8"
